	param_00	param_01	param_02	param_03	param_04	param_05	param_06	param_07	param_08	param_09	param_10	param_11	param_12	param_13	param_14	param_15	param_16	param_17	param_18	param_19
001248.txt	400	0.9800000000000002	300.02000000000004	400	300.04	300.05	4.73	7.82	300.03000000000003	300.03	31.680000000000003	300.01000000000005	11.18	300.04999999999995	300.01000000000005	183.48000000000002	4.65	300.02	300.01	300.02
001249.txt	400	10.530000000000001	300.03	400	300.03000000000003	300.03000000000003	4.95	1.86	300.05	300.02	37.2	400	400	300.03000000000003	400	16.380000000000003	11.58	300.02	300.01	300.02
001250.txt	400	9.52	300.04	400	300.02000000000004	300.02	31.830000000000002	15.380000000000003	300.03	300.02	45.33	400	400	300.05	300.01	197.27	19.1	300.02000000000004	300.03	300.02
001251.txt	400	4.300000000000001	300.03000000000003	400	300.02000000000004	300.08	35.9	4.28	300.03	209.67000000000002	22.270000000000003	400	400	400	400	111.41999999999999	7.94	300.02	300.01	300.02000000000004
001252.txt	300.02000000000004	0.4800000000000002	300.02	400	300.02000000000004	300.03	1.49	1.0299999999999998	60.47	5.04	15.92	400	9.790000000000001	400	43.690000000000005	1.0299999999999998	4.63	300.02000000000004	300.01	0.6299999999999999
001253.txt	400	5.8999999999999995	300.03	400	300.03	300.03999999999996	1.37	1.1400000000000001	300.03	5.869999999999999	33.41	400	13.030000000000001	300.04	400	300.03000000000003	1.0400000000000003	300.02	300.01	300.02
001254.txt	400	7.91	300.03000000000003	400	300.02000000000004	300.01	18.669999999999998	1.4000000000000001	300.03	7.77	35.86	400	400	400	400	172.42	8.01	300.02	300.04	300.02
001255.txt	400	3.14	300.03	400	300.03000000000003	300.01000000000005	39.39	1.7200000000000002	300.03	300.05	29.05	400	13.67	400	400	197.32999999999998	2.81	300.02	300.03	300.02
001256.txt	400	2.87	300.03	400	300.01	300.01	14.39	1.1700000000000002	300.03	13.89	22.18	400	400	300.02000000000004	400	10.26	5.04	300.02	300.02	300.02
001257.txt	400	4.26	300.04	400	300.01	300.35	30.79	93.36	300.03	4.07	13.88	400	9.42	400	27.400000000000002	1.2899999999999998	2.84	300.02	300.01	86.92
001258.txt	400	2.74	300.03	400	300.03000000000003	300.03999999999996	0.5299999999999998	1.13	300.02000000000004	4.18	20.009999999999998	400	12.600000000000001	300.02	400	15.52	5.25	300.02	300.03	300.02
001259.txt	400	6.52	300.03000000000003	400	400	300.01	1.2600000000000002	121.39	300.03000000000003	22.369999999999997	17.23	400	400	400	400	97.78	1.0300000000000002	300.01000000000005	300.03	128.33
001260.txt	400	2.6000000000000005	300.03000000000003	400	300.39	300.02	1.3800000000000001	0.9500000000000002	300.03	3.6399999999999997	20.15	76.44	9.46	0.55	38.0	0.16999999999999993	0.11999999999999988	300.02000000000004	300.03999999999996	0.26
001261.txt	400	9.52	300.03	400	300.02	300.01	1.26	1.0499999999999998	300.03000000000003	3.6100000000000003	20.099999999999998	400	11.05	400	126.33	35.29	0.1200000000000001	300.03	300.02000000000004	10.51
001262.txt	400	3.63	300.04	400	300.02	300.01000000000005	3.1499999999999995	1.3	300.04	159.73000000000002	43.06	400	13.549999999999999	400	400	109.92999999999999	3.5999999999999996	300.02	300.01	180.35
001263.txt	400	13.860000000000001	300.03	400	300.02	300.01	2.0300000000000002	1.4000000000000001	300.03	2.33	29.72	300.26	15.17	300.03000000000003	300.01	400	2.3499999999999996	300.02	300.01	300.02000000000004
001264.txt	400	3.8200000000000003	300.03000000000003	400	300.01	300.11	1.0299999999999998	0.7799999999999998	300.03	2.5199999999999996	16.82	137.88	10.5	0.5	21.52	0.14000000000000012	0.10999999999999988	300.03000000000003	300.03000000000003	0.2899999999999998
001265.txt	400	2.3499999999999996	300.04	400	300.01000000000005	300.34	0.5	1.19	300.03000000000003	3.4400000000000004	20.79	400	8.010000000000002	300.04	400	11.18	5.390000000000001	300.02	300.03	0.69
001266.txt	300.02000000000004	0.3899999999999999	300.03000000000003	400	300.02	300.01	3.2500000000000004	1.49	300.04999999999995	17.95	30.259999999999998	400	9.27	300.02	400	400	8.65	300.02	300.02000000000004	300.03
001267.txt	400	3.66	300.03	400	300.03	300.74	29.13	1.4100000000000001	300.03	117.66	54.48	400	400	300.04	400	120.26	9.059999999999999	300.02000000000004	300.02	300.03000000000003
001268.txt	400	3.42	300.03000000000003	400	400	300.01	2.02	1.0999999999999999	300.03000000000003	3.9199999999999995	30.790000000000003	400	16.41	400	64.02	11.16	10.11	300.02	300.03	28.28
001269.txt	300.01	0.41000000000000014	300.03	400	300.02	300.02000000000004	1.9200000000000002	0.81	196.97	3.3000000000000003	21.09	400	9.43	300.02000000000004	400	1.33	5.21	300.02	300.02000000000004	0.31000000000000005
001270.txt	400	39.779999999999994	300.02	400	300.02	300.01	3.2900000000000005	17.78	300.03000000000003	101.14	36.12	400	400	400	300.01	221.83	4.82	300.01	300.04	300.01
001271.txt	400	7.209999999999999	300.04	400	300.02000000000004	300.03000000000003	23.91	2.01	300.03	63.760000000000005	35.370000000000005	400	400	300.03	400	13.43	13.11	300.02000000000004	300.02	300.02000000000004
001272.txt	300.02	11.4	300.03	400	300.01000000000005	300.05	51.6	300.12	300.02000000000004	300.03000000000003	37.660000000000004	400	400	300.08	400	233.12	11.98	300.01	300.02000000000004	300.01
001273.txt	400	5.1000000000000005	300.03000000000003	400	300.02	300.02	3.69	274.34000000000003	300.02	169.39	29.490000000000002	300.02	400	300.03000000000003	400	300.02	3.3	300.02	300.02	300.02
001274.txt	400	8.17	300.04	400	300.02	300.34000000000003	22.16	1.1300000000000001	300.03	4.91	32.29	400	400	400	400	184.61	2.17	300.03000000000003	300.05	300.02
001275.txt	400	4.2700000000000005	300.06	400	300.02	300.32	24.220000000000002	1.58	300.02000000000004	289.51	29.97	400	11.049999999999999	300.03000000000003	400	196.09	3.87	300.02	300.03	300.02
001276.txt	400	3.0300000000000002	300.02	400	300.09	300.15000000000003	0.81	0.99	300.04	4.34	20.51	400	11.08	3.9799999999999995	400	10.48	0.1299999999999999	300.02	300.14	0.30000000000000004
001277.txt	400	12.379999999999999	300.03	400	300.02	300.01	1.2500000000000002	0.8799999999999999	62.69	2.9999999999999996	12.290000000000001	117.1	13.48	0.53	400	24.369999999999997	12.27	300.02	300.02	0.56
001278.txt	400	2.5	300.03000000000003	400	300.01	300.17	2.01	1.53	300.04	6.85	27.77	400	10.26	300.03	58.52	14.15	2.92	300.02	300.03000000000003	300.03
001279.txt	400	2.6499999999999995	300.03000000000003	400	300.02	300.01	0.7500000000000002	0.95	300.03	102.91	22.37	400	400	400	400	0.18999999999999995	5.430000000000001	300.02	300.05	79.94
001280.txt	400	59.45	300.02	400	300.1	300.05999999999995	2.9899999999999993	6.369999999999999	300.02	256.05	33.91	400	400	300.04	400	153.57000000000002	2.82	300.02	300.01	300.02000000000004
001281.txt	400	4.26	300.03000000000003	400	300.02	300.01	17.08	0.9400000000000002	300.05	5.67	20.83	400	11.690000000000001	400	400	0.1399999999999999	2.51	300.02	300.02	17.259999999999998
001282.txt	300.02	1.5599999999999998	300.03	400	300.02	300.01	11.95	1.2300000000000002	300.03	300.02	23.75	400	11.95	3.54	300.41	8.29	2.2199999999999998	300.02	300.02	0.3600000000000001
001283.txt	400	17.53	300.03	400	400	300.06	2.46	139.84	300.03	139.79000000000002	22.6	400	10.99	400	400	17.99	5.58	300.02	300.01000000000005	52.49
001284.txt	400	5.77	300.02000000000004	400	400	300.08	1.33	1.08	300.02000000000004	3.29	25.73	300.01	11.59	0.5900000000000001	36.800000000000004	120.87	0.1399999999999999	300.02	300.01	300.02
001285.txt	400	2.59	300.03	400	300.03000000000003	300.07	0.9199999999999999	1.4300000000000002	300.03000000000003	7.7700000000000005	24.8	400	10.530000000000001	8.959999999999999	400	17.729999999999997	4.47	300.02	300.04	14.9
001286.txt	400	14.08	300.01	400	400	300.03	0.95	0.81	300.04	2.39	15.51	400	11.83	300.02000000000004	400	0.1399999999999999	2.5600000000000005	300.02000000000004	300.01	0.5699999999999998
001287.txt	400	2.27	300.03000000000003	400	400	300.01	0.7899999999999998	0.8	300.02000000000004	3.17	18.1	6.76	12.049999999999999	2.3099999999999996	400	0.1499999999999999	5.33	301.5	300.02	0.28
001288.txt	400	5.4399999999999995	300.02	400	400	300.01	0.8999999999999999	1.06	300.02000000000004	4.0	18.029999999999998	400	11.780000000000001	400	60.53	5.8	2.3000000000000003	300.02	400	0.7100000000000002
001289.txt	300.02000000000004	0.71	300.02000000000004	400	300.03000000000003	300.17	1.94	1.2899999999999998	300.03	90.66999999999999	25.67	400	14.32	400	300.02	1.75	0.9999999999999998	300.02	300.03	0.3799999999999999
001290.txt	400	14.830000000000002	300.02000000000004	400	300.02	300.02	2.07	1.4200000000000002	300.03999999999996	4.27	26.02	400	11.15	300.04	400	23.68	11.49	300.03	300.04	1.02
001291.txt	400	8.67	300.02000000000004	400	300.01	300.18	3.0299999999999994	1.31	300.03000000000003	3.9099999999999997	21.840000000000003	10.27	12.15	400	400	104.8	6.68	300.02	300.02	0.32000000000000006
001292.txt	400	5.3	300.03000000000003	400	300.01	300.02	15.99	300.03	300.02	3.4199999999999995	27.509999999999998	400	11.32	400	400	50.67	4.1	300.03000000000003	300.01	31.85
001293.txt	400	6.119999999999999	300.03000000000003	400	300.02	300.24	1.6900000000000002	1.45	300.03999999999996	102.28	28.15	400	400	300.02	400	11.709999999999999	2.8999999999999995	300.03	300.05	89.71000000000001
001294.txt	400	3.0599999999999996	300.03999999999996	400	300.01	300.03999999999996	1.5	0.7899999999999998	300.03	2.9699999999999998	17.87	400	9.44	400	19.51	90.97	5.01	300.03	300.01	0.5999999999999999
001295.txt	300.02	0.24	300.02	400	300.02	300.11	0.45999999999999996	1.0199999999999998	23.96	3.0799999999999996	20.590000000000003	5.390000000000001	11.16	2.6100000000000003	45.989999999999995	1.2000000000000002	2.2700000000000005	300.01	300.03	0.31000000000000005
001296.txt	400	5.34	300.03000000000003	400	400	300.14	2.6499999999999995	0.9300000000000002	300.03000000000003	3.5999999999999996	21.17	24.950000000000003	11.27	0.5699999999999998	400	8.83	2.13	300.02	300.03000000000003	0.33000000000000007
