	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.16206.cnf	0.26	0.46	0.1	0.12	0.4	0.4	0.12	0.38	0.4	0.4	0.14	0.62	0.38	0.46	0.12	0.4	0.32	0.14	0.84	2.02
SWGCP_only_5000/SWlin2006.16207.cnf	0.18	0.1	0.1	0.06	0.34	0.22	0.1	0.32	0.04	0.34	0.1	0.1	0.74	0.56	0.08	0.4	0.3	0.08	0.88	1.24
SWGCP_only_5000/SWlin2006.16208.cnf	0.26	0.82	0.12	0.12	0.4	0.4	0.14	0.38	0.44	0.18	0.14	0.7	1.18	0.72	0.1	0.52	0.38	0.12	0.58	1.94
SWGCP_only_5000/SWlin2006.16209.cnf	0.2	0.1	0.06	0.06	0.04	0.26	0.08	0.26	0.38	0.12	0.08	0.44	0.62	0.18	0.08	0.14	0.08	0.1	0.7	0.94
SWGCP_only_5000/SWlin2006.16210.cnf	0.14	0.0	0.04	0.06	0.08	0.04	0.06	0.06	0.0	0.08	0.1	0.02	0.06	0.02	0.06	0.04	0.16	0.08	0.48	0.68
SWGCP_only_5000/SWlin2006.16211.cnf	0.14	0.3	0.06	0.04	0.22	0.18	0.08	0.2	0.24	0.22	0.08	0.28	0.34	0.24	0.08	0.26	0.14	0.08	0.44	0.7
SWGCP_only_5000/SWlin2006.16212.cnf	0.2	0.06	0.12	0.08	0.04	0.38	0.08	0.32	0.5	0.34	0.12	0.54	0.88	0.58	0.08	0.46	0.26	0.1	0.68	1.3
SWGCP_only_5000/SWlin2006.16213.cnf	0.08	0.14	0.06	0.04	0.16	0.16	0.08	0.14	0.16	0.16	0.08	0.22	0.2	0.16	0.06	0.18	0.12	0.08	0.28	0.48
SWGCP_only_5000/SWlin2006.16214.cnf	0.18	0.08	0.08	0.1	0.3	0.06	0.08	0.24	0.36	0.2	0.08	0.48	0.64	0.34	0.08	0.34	0.06	0.1	0.56	0.9
SWGCP_only_5000/SWlin2006.16215.cnf	0.1	0.6	0.1	0.08	0.3	0.06	0.1	0.28	0.04	0.3	0.1	0.52	0.74	0.04	0.08	0.34	0.2	0.08	0.66	1.0
SWGCP_only_5000/SWlin2006.16216.cnf	0.22	0.38	0.1	0.08	0.34	0.32	0.1	0.3	0.4	0.32	0.12	0.6	0.56	0.04	0.08	0.48	0.22	0.1	0.7	1.24
SWGCP_only_5000/SWlin2006.16217.cnf	0.16	0.2	0.04	0.06	0.18	0.16	0.06	0.14	0.18	0.16	0.08	0.2	0.24	0.22	0.08	0.2	0.14	0.06	0.32	0.5
SWGCP_only_5000/SWlin2006.16218.cnf	0.12	0.16	0.06	0.06	0.06	0.2	0.06	0.02	0.1	0.12	0.08	0.28	0.5	0.32	0.06	0.24	0.16	0.06	0.48	0.66
SWGCP_only_5000/SWlin2006.16219.cnf	0.14	0.32	0.06	0.08	0.24	0.22	0.1	0.24	0.26	0.26	0.08	0.36	0.44	0.32	0.06	0.28	0.2	0.08	0.38	0.88
SWGCP_only_5000/SWlin2006.16220.cnf	0.2	0.6	0.1	0.1	0.34	0.36	0.1	0.32	0.36	0.32	0.08	0.5	0.56	0.52	0.1	0.4	0.24	0.1	0.64	1.36
SWGCP_only_5000/SWlin2006.16221.cnf	0.24	0.62	0.1	0.1	0.38	0.2	0.12	0.16	0.62	0.36	0.12	0.66	0.28	0.14	0.12	0.34	0.28	0.1	0.38	1.58
SWGCP_only_5000/SWlin2006.16222.cnf	0.3	0.58	0.12	0.12	0.48	0.18	0.14	0.34	0.5	0.54	0.12	0.54	0.66	0.48	0.08	0.56	0.24	0.12	1.02	1.86
SWGCP_only_5000/SWlin2006.16223.cnf	0.24	0.5	0.08	0.08	0.4	0.36	0.1	0.32	0.54	0.44	0.12	0.56	0.64	0.62	0.1	0.5	0.32	0.06	0.84	1.46
SWGCP_only_5000/SWlin2006.16224.cnf	0.12	0.2	0.04	0.06	0.16	0.16	0.08	0.14	0.16	0.16	0.06	0.24	0.26	0.22	0.04	0.2	0.12	0.06	0.28	0.48
SWGCP_only_5000/SWlin2006.16225.cnf	0.24	0.48	0.12	0.12	0.42	0.24	0.12	0.32	0.04	0.36	0.12	0.42	0.22	0.48	0.1	0.44	0.3	0.1	1.0	1.5
SWGCP_only_5000/SWlin2006.16226.cnf	0.16	0.42	0.08	0.08	0.24	0.22	0.06	0.22	0.32	0.24	0.06	0.28	0.56	0.34	0.08	0.3	0.18	0.06	0.5	0.74
SWGCP_only_5000/SWlin2006.16227.cnf	0.2	0.56	0.1	0.08	0.3	0.28	0.1	0.3	0.32	0.32	0.1	0.44	0.56	0.28	0.08	0.36	0.16	0.1	0.56	1.14
SWGCP_only_5000/SWlin2006.16228.cnf	0.16	0.52	0.1	0.08	0.3	0.28	0.1	0.24	0.38	0.32	0.1	0.46	0.5	0.36	0.08	0.38	0.18	0.08	0.78	1.14
SWGCP_only_5000/SWlin2006.16229.cnf	0.12	0.02	0.06	0.04	0.02	0.18	0.06	0.18	0.0	0.04	0.08	0.06	0.44	0.0	0.06	0.0	0.12	0.06	0.0	0.56
SWGCP_only_5000/SWlin2006.16230.cnf	0.16	0.36	0.06	0.06	0.24	0.22	0.1	0.24	0.28	0.2	0.1	0.38	0.56	0.26	0.08	0.34	0.2	0.08	0.52	0.84
SWGCP_only_5000/SWlin2006.16231.cnf	0.26	0.44	0.08	0.12	0.38	0.4	0.14	0.36	0.36	0.36	0.12	0.64	0.54	0.36	0.12	0.48	0.24	0.12	0.78	1.8
SWGCP_only_5000/SWlin2006.16232.cnf	0.22	0.36	0.08	0.08	0.26	0.26	0.1	0.26	0.36	0.3	0.1	0.42	0.46	0.38	0.1	0.34	0.2	0.1	0.56	1.2
SWGCP_only_5000/SWlin2006.16233.cnf	0.22	0.48	0.08	0.1	0.34	0.34	0.1	0.38	0.42	0.44	0.12	0.48	0.72	0.34	0.08	0.48	0.28	0.12	0.88	1.54
